species	nb_extracellular
Mitsuokella_jalaludinii_60453	9
Mitsuokella_multacida_61656	8
Neisseria_gonorrhoeae_53748-528353.5	7
Neisseria_meningitidis_57493-1200386.3	9
Neisseria_meningitidis_58195-487.481	14
Orientia_tsutsugamushi_57793-357244.4	7
Parabacteroides_gordonii_58986	63
Paraprevotella_xylaniphila_62280	25
Parvimonas_micra_57958	15
Peptoniphilus_harei_62491	17
Peptostreptococcus_anaerobius_55004	20
Peptostreptococcus_stomatis_61922	16
Phascolarctobacterium_succinatutens_59819	9
Plesiomonas_shigelloides_57360-703.7	41
Porphyromonas_asaccharolytica_56465	20
Porphyromonas_somerae_59001	10
Porphyromonas_uenonis_49360	19
Prevotella_intermedia_57633	14
Prevotella_nigrescens_56706	15
Pseudomonas_aeruginosa_55861-1262663.10	54
Pseudomonas_aeruginosa_57148-287.878	70
Rickettsia_prowazekii_51996-1105096.3	5
Rickettsia_rickettsii_57256-1105100.3	11
Rickettsia_rickettsii_57256-272944.4	13
Ruminococcus_champanellensis_61009	55
Ruminococcus_obeum_62046	43
Ruminococcus_sp_58571	67
Salmonella_enterica_58156-1008297.7	62
Salmonella_enterica_58156-1132507.4	73
Salmonella_enterica_58156-295319.15	62
Solobacterium_moorei_56880	13
Staphylococcus_aureus_37016-1418406.3	82
Staphylococcus_aureus_56630-904783.3	96
Staphylococcus_aureus_57331-1413510.3	32
Staphylococcus_epidermidis_57523-1388003.3	48
Staphylococcus_haemolyticus_57278-904802.3	48
Staphylococcus_hominis_57055-1388318.3	40
Staphylococcus_lugdunensis_54043-1409679.3	40
Stenotrophomonas_maltophilia_55906-1163399.5	49
Stenotrophomonas_maltophilia_56340-1429851.3	48
Stenotrophomonas_maltophilia_56584-1279018.3	51
Stenotrophomonas_maltophilia_56867-1190567.3	102
Stenotrophomonas_maltophilia_57083-40324.44	45
Stenotrophomonas_maltophilia_58653-1118235.3	33
Stenotrophomonas_maltophilia_59502-1210005.3	30
Stenotrophomonas_maltophilia_59679-1235458.3	54
Stenotrophomonas_maltophilia_61398-391008.4	49
Stenotrophomonas_maltophilia_61460-40324.43	56
Stenotrophomonas_maltophilia_61461-40324.45	38
Stenotrophomonas_maltophilia_62375-868597.3	52
Streptococcus_anginosus_58032	27
Streptococcus_gallolyticus_57748	32
Streptococcus_infantarius_58294	27
Streptococcus_infantis_58320	19
Streptococcus_lutetiensis_58501	27
Streptococcus_mutans_56116	21
Streptococcus_parasanguinis_58126	21
Streptococcus_pleomorphus_59089	11
Streptococcus_pyogenes_56747-1207470.4	28
Streptococcus_salivarius_58022	64
Streptococcus_salivarius_58024	40
Streptococcus_salivarius_58037	50
Streptococcus_sobrinus_56802	32
Streptococcus_thermophilus_54772	28
Streptococcus_vestibularis_56030	31
Treponema_pallidum_55260-686990.3	9
